09:23:40 INFO    can.interfaces.socketcan.socketcan Created a socket
09:23:40 INFO    canlink    CAN bus open: socketcan:can0 @ 250000
09:23:40 INFO    autopilot  Autopilot CSV log initialized at logs/autopilot_log_20260726_092340.csv
09:23:40 INFO    autopilot  Autopilot run thread started.
09:23:40 INFO    autopilot  set heading value to 181.03187398737583.
09:23:40 INFO    autopilot  set heading value to 181.03187398737583.
09:23:40 INFO    autopilot  set heading value to 181.01669271288793.
09:23:41 INFO    autopilot  set heading value to 180.9983955444477.
09:23:41 INFO    autopilot  set heading value to 180.99679989122026.
09:23:41 INFO    autopilot  set heading value to 180.99870096658705.
09:23:41 INFO    autopilot  set heading value to 180.99832480114605.
09:23:42 INFO    autopilot  set heading value to 181.00584204283936.
09:23:42 INFO    autopilot  set heading value to 181.03047628329935.
09:23:42 INFO    autopilot  set heading value to 181.05749206339064.
09:23:42 INFO    autopilot  set heading value to 181.08402533339506.
09:23:43 INFO    autopilot  set heading value to 181.1018637880969.
09:23:43 INFO    autopilot  set heading value to 181.1007805830426.
09:23:43 INFO    autopilot  set heading value to 181.08155928723644.
09:23:44 INFO    autopilot  set heading value to 181.0536220842151.
09:23:44 INFO    autopilot  set heading value to 181.03505309860557.
09:23:44 INFO    autopilot  set heading value to 181.00729400415156.
09:23:44 INFO    autopilot  set heading value to 180.97463560541127.
09:23:45 INFO    autopilot  set heading value to 180.94963508643104.
09:23:45 INFO    autopilot  set heading value to 180.923872829225.
09:23:45 INFO    autopilot  set heading value to 180.88448883948652.
09:23:45 INFO    autopilot  set heading value to 180.83454729698616.
09:23:46 INFO    autopilot  set heading value to 180.77751221720385.
09:23:46 INFO    autopilot  set heading value to 180.71581795562574.
09:23:46 INFO    autopilot  set heading value to 180.65100484625344.
09:23:46 INFO    autopilot  set heading value to 180.5977496279836.
09:23:47 INFO    autopilot  set heading value to 180.5749694834024.
09:23:47 INFO    autopilot  set heading value to 180.57951138491876.
09:23:47 INFO    autopilot  set heading value to 180.59137709556646.
09:23:47 INFO    autopilot  set heading value to 180.57945879115238.
09:23:48 INFO    autopilot  set heading value to 180.56864824084795.
09:23:48 INFO    autopilot  set heading value to 180.56796491898632.
09:23:48 INFO    autopilot  set heading value to 180.55443529252503.
09:23:48 INFO    autopilot  set heading value to 180.52053395177956.
09:23:49 INFO    autopilot  set heading value to 180.4861608458111.
09:23:49 INFO    autopilot  set heading value to 180.47611362185316.
09:23:49 INFO    autopilot  set heading value to 180.49976765602327.
09:23:49 INFO    autopilot  set heading value to 180.53369630034103.
09:23:50 INFO    autopilot  set heading value to 180.56338364521048.
09:23:50 INFO    autopilot  set heading value to 180.59730457281117.
09:23:50 INFO    autopilot  set heading value to 180.62217265786677.
09:23:50 INFO    autopilot  set heading value to 180.62870867403583.
09:23:51 INFO    autopilot  set heading value to 180.6424248302925.
09:23:51 INFO    autopilot  set heading value to 180.65930744075544.
09:23:51 INFO    autopilot  set heading value to 180.67159369408972.
09:23:51 INFO    autopilot  set heading value to 180.69078752178785.
09:23:52 INFO    autopilot  set heading value to 180.73062574336134.
09:23:52 INFO    autopilot  set heading value to 180.7921125009634.
09:23:52 INFO    autopilot  set heading value to 180.8419775532773.
09:23:52 INFO    autopilot  set heading value to 180.8713584150973.
09:23:53 INFO    autopilot  set heading value to 180.88745466653558.
09:23:53 INFO    autopilot  set heading value to 180.89546483540713.
09:23:53 INFO    autopilot  set heading value to 180.89105215620273.
09:23:53 INFO    autopilot  set heading value to 180.87806024237005.
09:23:54 INFO    autopilot  set heading value to 180.89149157372975.
09:23:54 INFO    autopilot  set heading value to 180.92286067775092.
09:23:54 INFO    autopilot  set heading value to 180.96412986077632.
09:23:54 INFO    autopilot  set heading value to 180.98709703115844.
09:23:55 INFO    autopilot  set heading value to 180.9843476666106.
09:23:55 INFO    autopilot  set heading value to 180.985295098764.
09:23:55 INFO    autopilot  set heading value to 180.9989666860716.
09:23:55 INFO    autopilot  set heading value to 181.02806588689973.
09:23:56 INFO    autopilot  set heading value to 181.05711837184114.
09:23:56 INFO    autopilot  set heading value to 181.07936203396514.
09:23:56 INFO    autopilot  set heading value to 181.0846581477712.
09:23:56 INFO    autopilot  set heading value to 181.08212312237356.
09:23:57 INFO    autopilot  set heading value to 181.05792385746378.
09:23:57 INFO    autopilot  set heading value to 181.03831372450483.
09:23:57 INFO    autopilot  set heading value to 181.03145386323334.
09:23:57 INFO    autopilot  set heading value to 181.03415949968561.
09:23:58 INFO    autopilot  set heading value to 181.0668865998706.
09:23:58 INFO    autopilot  set heading value to 181.11281730437426.
09:23:58 INFO    autopilot  set heading value to 181.1441517878098.
09:23:58 INFO    autopilot  set heading value to 181.1609298400604.
09:23:59 INFO    autopilot  set heading value to 181.17308626068208.
09:23:59 INFO    autopilot  set heading value to 181.17630561361656.
09:23:59 INFO    autopilot  set heading value to 181.18347422123526.
09:24:00 INFO    autopilot  set heading value to 181.19386448544162.
09:24:00 INFO    autopilot  set heading value to 181.20126708828323.
09:24:00 INFO    autopilot  set heading value to 181.2121469608123.
09:24:00 INFO    autopilot  set heading value to 181.2222647265871.
09:24:01 INFO    autopilot  set heading value to 181.22265323234316.
09:24:01 INFO    autopilot  set heading value to 181.2219651808463.
09:24:01 INFO    autopilot  set heading value to 181.22742882952275.
09:24:01 INFO    autopilot  set heading value to 181.24123938129566.
09:24:02 INFO    autopilot  set heading value to 181.26111694166667.
09:24:02 INFO    autopilot  set heading value to 181.2809822859477.
09:24:02 INFO    autopilot  set heading value to 181.288505499125.
09:24:02 INFO    autopilot  set heading value to 181.27881864528123.
09:24:03 INFO    autopilot  set heading value to 181.27374902284078.
09:24:03 INFO    autopilot  set heading value to 181.27212476637507.
09:24:03 INFO    autopilot  set heading value to 181.28991229426836.
09:24:03 INFO    autopilot  set heading value to 181.31812263897115.
09:24:04 INFO    autopilot  set heading value to 181.3342532190093.
09:24:04 INFO    autopilot  set heading value to 181.3378741467006.
09:24:04 INFO    autopilot  set heading value to 181.3309183046513.
09:24:04 INFO    autopilot  set heading value to 181.3239169655888.
09:24:05 INFO    autopilot  set heading value to 181.31642989258398.
09:24:05 INFO    autopilot  set heading goal to 181.31642989258398.
09:24:05 INFO    autopilot  set heading value to 181.31739091102736.
09:24:05 INFO    CAN        Sent CAN steering goal: 1418.8°  49a6158045ffffff
09:24:05 INFO    autopilot  set heading value to 181.3333017554065.
09:24:05 INFO    autopilot  set heading value to 181.36214033361267.
09:24:06 INFO    autopilot  set heading value to 181.40357232682862.
09:24:06 INFO    autopilot  set heading value to 181.4479211677441.
09:24:06 INFO    autopilot  set heading value to 181.48002489602504.
09:24:06 INFO    autopilot  set heading value to 181.49417915313302.
09:24:07 INFO    autopilot  set heading value to 181.51064130791676.
09:24:07 INFO    autopilot  set heading value to 181.5673046461174.
09:24:07 INFO    autopilot  set heading value to 181.64488997718382.
09:24:07 INFO    autopilot  set heading value to 181.70993432624195.
09:24:08 INFO    autopilot  set heading value to 181.75598048543634.
09:24:08 INFO    autopilot  set heading value to 181.78088708614197.
09:24:08 INFO    autopilot  set heading value to 181.80283102112168.
09:24:08 INFO    autopilot  set heading value to 181.8264554560677.
09:24:09 INFO    autopilot  set heading value to 181.8382388674278.
09:24:09 INFO    autopilot  set heading value to 181.83834651726187.
09:24:09 INFO    autopilot  set heading goal to 182.31642989258398.
09:24:09 INFO    autopilot  set heading value to 181.83406022974242.
09:24:09 INFO    autopilot  set heading goal to 183.31642989258398.
09:24:09 INFO    autopilot  set heading value to 181.83515187387903.
09:24:10 INFO    autopilot  set heading goal to 184.31642989258398.
09:24:10 INFO    autopilot  set heading value to 181.8332750138059.
09:24:10 INFO    autopilot  set heading goal to 185.31642989258398.
09:24:10 INFO    autopilot  set heading value to 181.82229368297763.
09:24:10 INFO    autopilot  set heading goal to 186.31642989258398.
09:24:10 INFO    CAN        Sent CAN steering goal: 1507.2°  7dff168045ffffff
09:24:10 INFO    autopilot  set heading value to 181.80856346022333.
09:24:10 INFO    autopilot  set heading goal to 187.31642989258398.
09:24:10 INFO    autopilot  set heading goal to 188.31642989258398.
09:24:10 INFO    autopilot  set heading value to 181.7656460240156.
09:24:11 INFO    autopilot  set heading goal to 189.31642989258398.
09:24:11 INFO    autopilot  set heading value to 181.70674159601515.
