timestamp,rel_time,heading_goal,current_heading,heading_error,rudder_goal,rudder_actual,shaft_goal,shaft_actual,autopilot_engaged
2026-07-25T11:33:18.051074,0.10848331451416016,0,,0.0,0,0,1500,0
2026-07-25T11:33:18.155780,0.21319818496704102,0,,0.0,0,0,1500,0
2026-07-25T11:33:18.261609,0.3190128803253174,9.57,9.57,-9.57,0,0,-287.2,0
2026-07-25T11:33:18.371953,0.4293839931488037,9.57,9.57,90.43,0,0,2712.8,0
2026-07-25T11:33:18.474570,0.5319778919219971,9.57,9.57,0.0,0,0,0.0,0
2026-07-25T11:33:18.578333,0.6357390880584717,9.57,9.57,0.0,0,0,0.0,0
2026-07-25T11:33:18.679078,0.7364864349365234,9.57,9.57,0.0,0,0,0.0,0
2026-07-25T11:33:18.785210,0.8426172733306885,9.57,9.57,0.0,0,0,0.0,0
2026-07-25T11:33:18.887303,0.9447135925292969,9.57,9.57,0.0,0,0,0.0,0
2026-07-25T11:33:18.991527,1.0489370822906494,9.57,9.57,0.0,0,0,0.0,0
2026-07-25T11:33:19.101762,1.159170150756836,9.57,9.57,0.0,0,0,0.0,0
2026-07-25T11:33:19.207664,1.2650716304779053,9.57,9.57,0.0,0,0,0.0,0
2026-07-25T11:33:19.326463,1.38387131690979,9.57,9.57,0.0,0,0,0.0,0
2026-07-25T11:33:19.427398,1.4848148822784424,9.57,9.57,0.0,0,0,0.0,0
2026-07-25T11:33:19.554999,1.612407922744751,9.57,9.57,0.0,0,0,0.0,0
2026-07-25T11:33:19.655997,1.7134003639221191,9.57,9.57,0.0,0,0,0.0,0
2026-07-25T11:33:19.787964,1.8453738689422607,9.57,9.57,0.0,0,0,0.0,0
2026-07-25T11:33:19.892683,1.9500954151153564,9.57,9.57,0.0,0,0,0.0,0
2026-07-25T11:33:20.015535,2.0729432106018066,9.57,9.57,0.0,0,0,0.0,0
2026-07-25T11:33:20.118691,2.1760995388031006,9.57,9.57,0.0,0,0,0.0,0
2026-07-25T11:33:20.219848,2.27726149559021,9.57,9.57,0.0,0,0,0.0,0
2026-07-25T11:33:20.321504,2.3789124488830566,9.57,9.57,0.0,0,0,0.0,0
2026-07-25T11:33:20.433571,2.4909846782684326,9.57,9.57,0.0,0,0,0.0,0
